Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
17579_TRI29935_B_Taes_R19_2of2_External_1x1_l_c,17579,Nikon,1x,1,TRI29935,B,R19,Top,2of2,External,Taes,l,c
17580_TRI29935_C_Taes_Georgia_R1_1of2_External_1x1_d_c,17580,Nikon,1x,1,TRI29935,C,R1,Base,1of2,External,Taes,d,c
17581_TRI29935_C_Taes_Georgia_R1_1of2_External_1x1_l_c,17581,Nikon,1x,1,TRI29935,C,R1,Base,1of2,External,Taes,l,c
17582_TRI29935_C_Taes_Georgia_R1_2of2_External_1x1_d_c,17582,Nikon,1x,1,TRI29935,C,R1,Base,2of2,External,Taes,d,c
17583_TRI29935_C_Taes_Georgia_R1_2of2_External_1x1_l_c,17583,Nikon,1x,1,TRI29935,C,R1,Base,2of2,External,Taes,l,c
17584_TRI29935_C_Taes_Georgia_R2_2of3_Internal_1x1_d_c,17584,Nikon,1x,1,TRI29935,C,R2,Base,2of3,Internal,Taes,d,c
17585_TRI29935_C_Taes_Georgia_R2_2of3_Internal_1x1_l_c,17585,Nikon,1x,1,TRI29935,C,R2,Base,2of3,Internal,Taes,l,c
17586_TRI29935_C_Taes_Georgia_R8_1of3_External_1x1_d_c,17586,Nikon,1x,1,TRI29935,C,R8,Mid,1of3,External,Taes,d,c
17587_TRI29935_C_Taes_Georgia_R8_1of3_External_1x1_l_c,17587,Nikon,1x,1,TRI29935,C,R8,Mid,1of3,External,Taes,l,c
17588_TRI29935_C_Taes_Georgia_R8_2of3_Internal_1x1_d_c,17588,Nikon,1x,1,TRI29935,C,R8,Mid,2of3,Internal,Taes,d,c
17589_TRI29935_C_Taes_Georgia_R8_2of3_Internal_1x1_l_c,17589,Nikon,1x,1,TRI29935,C,R8,Mid,2of3,Internal,Taes,l,c
17590_TRI29935_C_Taes_Georgia_R8_3of3_External_1x1_d_c,17590,Nikon,1x,1,TRI29935,C,R8,Mid,3of3,External,Taes,d,c
17591_TRI29935_C_Taes_Georgia_R8_3of3_External_1x1_l_c,17591,Nikon,1x,1,TRI29935,C,R8,Mid,3of3,External,Taes,l,c
17592_TRI29935_C_Taes_Georgia_R13_1of2_External_1x1_d_c,17592,Nikon,1x,1,TRI29935,C,R13,Top,1of2,External,Taes,d,c
17593_TRI29935_C_Taes_Georgia_R13_1of2_External_1x1_l_c,17593,Nikon,1x,1,TRI29935,C,R13,Top,1of2,External,Taes,l,c
17594_TRI29935_C_Taes_Georgia_R14_1of1_Solo_1x1_d_c,17594,Nikon,1x,1,TRI29935,C,R14,Top,1of1,Solo,Taes,d,c
17595_TRI29935_C_Taes_Georgia_R14_1of1_Solo_1x1_l_c,17595,Nikon,1x,1,TRI29935,C,R14,Top,1of1,Solo,Taes,l,c
17596_TRI29935_C_Taes_Georgia_R15_1of1_Solo_1x1_d_c,17596,Nikon,1x,1,TRI29935,C,R15,Top,1of1,Solo,Taes,d,c
17597_TRI29935_C_Taes_Georgia_R15_1of1_Solo_1x1_l_c,17597,Nikon,1x,1,TRI29935,C,R15,Top,1of1,Solo,Taes,l,c
17652_625842_A_Taes_R1_1of2_External_1x1_d_c,17652,Nikon,1x,1,625842,A,R1,Base,1of2,External,Taes,d,c
17653_625842_A_Taes_R1_1of2_External_1x1_l_c,17653,Nikon,1x,1,625842,A,R1,Base,1of2,External,Taes,l,c
17654_625842_A_Taes_R1_2of2_External_1x1_d_c,17654,Nikon,1x,1,625842,A,R1,Base,2of2,External,Taes,d,c
17655_625842_A_Taes_R1_2of2_External_1x1_l_c,17655,Nikon,1x,1,625842,A,R1,Base,2of2,External,Taes,l,c
17656_625842_A_Taes_R2_2of3_Internal_1x1_d_c,17656,Nikon,1x,1,625842,A,R2,Base,2of3,Internal,Taes,d,c
17657_625842_A_Taes_R2_2of3_Internal_1x1_l_c,17657,Nikon,1x,1,625842,A,R2,Base,2of3,Internal,Taes,l,c
17658_625842_A_Taes_R10_1of4_External_1x1_d_c,17658,Nikon,1x,1,625842,A,R10,Mid,1of4,External,Taes,d,c
17659_625842_A_Taes_R10_1of4_External_1x1_l_c,17659,Nikon,1x,1,625842,A,R10,Mid,1of4,External,Taes,l,c
17660_625842_A_Taes_R10_2of4_Internal_1x1_d_c,17660,Nikon,1x,1,625842,A,R10,Mid,2of4,Internal,Taes,d,c
17661_625842_A_Taes_R10_2of4_Internal_1x1_l_c,17661,Nikon,1x,1,625842,A,R10,Mid,2of4,Internal,Taes,l,c
17662_625842_A_Taes_R10_3of4_Internal_1x1_d_c,17662,Nikon,1x,1,625842,A,R10,Mid,3of4,Internal,Taes,d,c
17663_625842_A_Taes_R10_3of4_Internal_1x1_l_c,17663,Nikon,1x,1,625842,A,R10,Mid,3of4,Internal,Taes,l,c
17664_625842_A_Taes_R18_2of2_External_1x1_d_c,17664,Nikon,1x,1,625842,A,R18,Top,2of2,External,Taes,d,c
17665_625842_A_Taes_R18_2of2_External_1x1_l_c,17665,Nikon,1x,1,625842,A,R18,Top,2of2,External,Taes,l,c
17666_625842_A_Taes_R19_1of2_External_1x1_d_c,17666,Nikon,1x,1,625842,A,R19,Top,1of2,External,Taes,d,c
17667_625842_A_Taes_R19_1of2_External_1x1_l_c,17667,Nikon,1x,1,625842,A,R19,Top,1of2,External,Taes,l,c
17668_625842_A_Taes_R19_2of2_External_1x1_d_c,17668,Nikon,1x,1,625842,A,R19,Top,2of2,External,Taes,d,c
17669_625842_A_Taes_R19_2of2_External_1x1_l_c,17669,Nikon,1x,1,625842,A,R19,Top,2of2,External,Taes,l,c
17670_625842_B_Taes_R1_1of3_External_1x1_d_c,17670,Nikon,1x,1,625842,B,R1,Base,1of3,External,Taes,d,c
17671_625842_B_Taes_R1_1of3_External_1x1_l_c,17671,Nikon,1x,1,625842,B,R1,Base,1of3,External,Taes,l,c
17672_625842_B_Taes_R1_2of3_Internal_1x1_d_c,17672,Nikon,1x,1,625842,B,R1,Base,2of3,Internal,Taes,d,c
17673_625842_B_Taes_R1_2of3_Internal_1x1_l_c,17673,Nikon,1x,1,625842,B,R1,Base,2of3,Internal,Taes,l,c
17674_625842_B_Taes_R1_3of3_External_1x1_d_c,17674,Nikon,1x,1,625842,B,R1,Base,3of3,External,Taes,d,c
17675_625842_B_Taes_R1_3of3_External_1x1_l_c,17675,Nikon,1x,1,625842,B,R1,Base,3of3,External,Taes,l,c
17676_625842_B_Taes_R10_1of4_External_1x1_d_c,17676,Nikon,1x,1,625842,B,R10,Mid,1of4,External,Taes,d,c
17677_625842_B_Taes_R10_1of4_External_1x1_l_c,17677,Nikon,1x,1,625842,B,R10,Mid,1of4,External,Taes,l,c
17678_625842_B_Taes_R10_2of4_Internal_1x1_d_c,17678,Nikon,1x,1,625842,B,R10,Mid,2of4,Internal,Taes,d,c
17679_625842_B_Taes_R10_2of4_Internal_1x1_l_c,17679,Nikon,1x,1,625842,B,R10,Mid,2of4,Internal,Taes,l,c
17680_625842_B_Taes_R10_4of4_External_1x1_d_c,17680,Nikon,1x,1,625842,B,R10,Mid,4of4,External,Taes,d,c
17681_625842_B_Taes_R10_4of4_External_1x1_l_c,17681,Nikon,1x,1,625842,B,R10,Mid,4of4,External,Taes,l,c
17682_625842_B_Taes_R16_2of3_Internal_1x1_d_c,17682,Nikon,1x,1,625842,B,R16,Top,2of3,Internal,Taes,d,c
17683_625842_B_Taes_R16_2of3_Internal_1x1_l_c,17683,Nikon,1x,1,625842,B,R16,Top,2of3,Internal,Taes,l,c
17684_625842_B_Taes_R17_1of2_External_1x1_d_c,17684,Nikon,1x,1,625842,B,R17,Top,1of2,External,Taes,d,c
17685_625842_B_Taes_R17_1of2_External_1x1_l_c,17685,Nikon,1x,1,625842,B,R17,Top,1of2,External,Taes,l,c
17686_625842_B_Taes_R17_2of2_External_1x1_d_c,17686,Nikon,1x,1,625842,B,R17,Top,2of2,External,Taes,d,c
17687_625842_B_Taes_R17_2of2_External_1x1_l_c,17687,Nikon,1x,1,625842,B,R17,Top,2of2,External,Taes,l,c
17688_625842_C_Taes_R1_1of2_External_1x1_d_c,17688,Nikon,1x,1,625842,C,R1,Base,1of2,External,Taes,d,c
17689_625842_C_Taes_R1_1of2_External_1x1_l_c,17689,Nikon,1x,1,625842,C,R1,Base,1of2,External,Taes,l,c
17690_625842_C_Taes_R1_2of2_External_1x1_d_c,17690,Nikon,1x,1,625842,C,R1,Base,2of2,External,Taes,d,c
17691_625842_C_Taes_R1_2of2_External_1x1_l_c,17691,Nikon,1x,1,625842,C,R1,Base,2of2,External,Taes,l,c
17692_625842_C_Taes_R10_1of3_External_1x1_d_c,17692,Nikon,1x,1,625842,C,R10,Mid,1of3,External,Taes,d,c
17693_625842_C_Taes_R10_1of3_External_1x1_l_c,17693,Nikon,1x,1,625842,C,R10,Mid,1of3,External,Taes,l,c
17694_625842_C_Taes_R10_2of3_Internal_1x1_d_c,17694,Nikon,1x,1,625842,C,R10,Mid,2of3,Internal,Taes,d,c
17695_625842_C_Taes_R10_2of3_Internal_1x1_l_c,17695,Nikon,1x,1,625842,C,R10,Mid,2of3,Internal,Taes,l,c
17696_625842_C_Taes_R2_2of2_External_1x1_d_c,17696,Nikon,1x,1,625842,C,R2,Base,2of2,External,Taes,d,c
17697_625842_C_Taes_R2_2of2_External_1x1_l_c,17697,Nikon,1x,1,625842,C,R2,Base,2of2,External,Taes,l,c
17698_625842_C_Taes_R10_3of3_External_1x1_d_c,17698,Nikon,1x,1,625842,C,R10,Mid,3of3,External,Taes,d,c
